barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
5647;2018-08-07;;FING;;;53;FING;"Neural networks and artificial intelligence for biomedical engineering.";"Hudson, Donna L.";0780334043
5648;2018-08-07;;FING;;;36;FING;"Fundamentos de manufactura moderna :";"Groover, Mikell P.";9688808466
5649;2018-08-07;;FING;;;21;FING;"Cálculo de varias variables :";"Stewart, James";9786074812381
5655;2018-08-07;;FING;;;10;FING;"Eckert animal physiology :";"Randall, David";9780716738633
5656;2018-08-07;;FING;;;43;FING;"Biomedical photonics handbook.";"Vo-Dinh, Tuan";0849311160
5657;2018-08-07;;FING;;;30;FING;"Signal processing first.";"McClellan, James H.";0130909998
5659;2018-08-07;;FING;;;45;FING;"Radiation therapy planning.";"Bentel, Gunilla C.";0070051151
5661;2018-08-07;;FING;;;44;FING;"Biomaterials the intersection of biology and materials science.";"Temenoff, J. S.";0130097101
5663;2018-08-07;;FING;;;42;FING;"Biodesign :";"Zenios, Stefanos";9780521517423
5669;2018-08-07;;FING;;;50;FING;"Preparación y evaluación de proyectos.";"Sapag Chain, Nassir";9789562782067
5673;2018-08-07;;FING;;;9;FING;"Aprendiendo de química orgánica.";"Fernández Cirelli, Alicia";9789502314105
5674;2018-08-07;;FING;;;58;FING;"Diseño básico de automatismos eléctricos.";"Ubierto Artur, Pedro";9788428321631
5676;2018-08-07;;FING;;;42;FING;"Biomedical device technology :";"Chan, Anthony Y. K.";9780398077006
5677;2018-08-07;;FING;;;45;FING;"Nuclear medicine instrumentation.";"Prekeges, Jennifer";9780763766382
5678;2018-08-07;;FING;;;55;FING;"Biomedical sensors.";"Jones, Deric P.";9781606500569
5693;2018-08-07;;FING;;;22;FING;"Fundamentos de algoritmos y programación.";"Lage, Fernando J.";9789871104635
5698;2018-08-07;;FING;;;20;FING;"Ingeniería del software :";"Pressman, Roger S.";9786071503145
5700;2018-08-07;;FING;;;14;FING;"Aritmética en la era digital :";"Canavelli, Juan Carlos";9789873307171
5703;2018-08-07;;FING;;;3;FING;"Manual prático-teórico :";"Azevedo, Vasco Ariston de Carvalho";
5707;2018-08-07;;FING;;;42;FING;"Cardiac pacemakers and defibrillators.";"Love, Charles J.";1570596913
5708;2018-08-07;;FING;;;42;FING;"Medical nanotechnology and nanomedicine.";"Tibbals, Harry F.";9781439808740
5710;2018-08-07;;FING;;;42;FING;"Biomedical instrumentation :";"Khandpur, R.S.";9780071447843
5713;2018-08-07;;FING;;;13;FING;"Problemas de física :";"Burbano de Ercilla, Santiago";9701511093
5714;2018-08-07;;FING;;;30;FING;"Tratamiento de señales en tiempo discreto.";"Oppenheim, Alan V.";9788420529875
5720;2018-08-07;;FING;;;4;FING;"Neurociencia en esquemas.";"Barker, Roger A.";9789875701427
5721;2018-08-07;;FING;;;4;FING;"Netter Atlas de neurociencia.";"Felten, David L.";9788445820322
5726;2018-08-07;;FING;;;99;FING;"Educação para uma vida sustentável.Educação como direito humano :";"Favarão, Maria José";9788561910754
5727;2018-08-07;;FING;;;42;FING;"Marcapasos, resincronizadores y cardiodesfibriladores implantables :";"Chiale, Pablo A.";9789870552314
5731;2018-08-07;;FING;;;59;FING;"Historia universal de la infamia científica :";"Alinovi, Matías";9789876290999
5732;2018-08-07;;FING;;;48;FING;"Bioestadística médica.";"Dawson, Beth";9707291346
5737;2018-08-07;;FING;;;11;FING;"Six easy pieces :";"Feynman, Richard P.";9780465025275
5738;2018-08-07;;FING;;;42;FING;"Ventilación mecánica :";"Chiappero, Guillermo R.";9789500609012
5742;2018-08-07;;FING;;;57;FING;"Higiene y seguridad en el trabajo.";;9789870110156
5748;2018-08-07;;FING;;;3;FING;"Brock Biología de los microorganismos.";"Madigan, Michael T.";9788478290970
5753;2018-08-07;;FING;;;17;FING;"Precálculo :";"Stewart, James";9789706866387
5764;2018-08-07;;FING;;;22;FING;"C++ :";"Deitel, Paul J.";9780136117261
5769;2018-08-07;;FING;;;47;FING;"Digital image processing.";"Gonzalez, Rafael C.";9780131687288
5770;2018-08-07;;FING;;;47;FING;"The image processing handbook.";"Russ, John C.";9781439840450
5775;2018-08-07;;FING;;;45;FING;"Plan estratégico 2010-2019.";;
5784;2018-08-07;;FING;;;37;FING;"Gait analysis :";"Perry, Jacquelin";9781556427664
5785;2018-08-07;;FING;;;46;FING;"Introducción a la física cuántica :";"French, A.P.";9788429141672
5786;2018-08-07;;FING;;;42;FING;"Ventilación mecánica en anestesia y cuidados críticos.";"Belda, F. Javier";9788496881815
5792;2018-08-07;;FING;;;14;FING;"Introducción a la matemática.";"Colombo, María Mercedes";9506981647
5808;2018-08-07;;FING;;;19;FING;"Cálculo diferencial e integral.";"Piskunov, Nikolai";9789681839857
