barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
4404;2018-08-07;;FING;;;18;FING;"Microsoft Word 2000.";"Cruz, Adriana Anabel";987526038X
4405;2018-08-07;;FING;;;18;FING;"Excel para todos.";"Sánchez, Claudio";9879131223
4406;2018-08-07;;FING;;;18;FING;"Manual de Word.";"Cruz, Adriana Anabel";9879131401
4408;2018-08-07;;FING;;;18;FING;"Manual Windows 95.";"Goldberger, Ricardo D.";9879131282
4409;2018-08-07;;FING;;;18;FING;"<diez>10 proyectos con Word.";"Cruz, Adriana Anabel";9879131940
4410;2018-08-07;;FING;;;18;FING;"Virus informáticos.";"Aldegani, Gustavo";9879131673
4411;2018-08-07;;FING;;;18;FING;"Desarrollo de sitios web bajo Linux.";"Arena, Héctor Facundo";9875260746
4412;2018-08-07;;FING;;;18;FING;"La biblia de las Palms.";"Costa, Adrián J.";9875260754
4413;2018-08-07;;FING;;;20;FING;"Oracle :";"López, Javier";9875260711
4414;2018-08-07;;FING;;;18;FING;"Cómo buscar en Internet.";"Wainer, Darío";9879131681
4415;2018-08-07;;FING;;;18;FING;"<trescientos tres>303 trucos.";;987913172X
4416;2018-08-07;;FING;;;18;FING;"La biblia del chat.";"Coste, Tomás";9875260703
4417;2018-08-07;;FING;;;18;FING;"Estudiar con la PC.";"Perelman, Marcela";9879131967
4418;2018-08-07;;FING;;;42;FING;"Biochemical engineering.";"Krahe, Martin";
1116;2018-08-07;;FING;;;64;FING;"Interface circuits data book.";;0895121999
1117;2018-08-07;;FING;;;64;FING;"ALS/AS Logic data book.";;0895121530
1120;2018-08-07;;FING;;;64;FING;"Telecommunications circuits data book.";;
4424;2018-08-07;;FING;;;64;FING;"Amplifiers, comparators, and special functions data book :";;
4425;2018-08-07;;FING;;;64;FING;"ALVC Advanced low-voltage CMOS data book :";;
4426;2018-08-07;;FING;;;64;FING;"AHC/AHCT Logic advanced high-speed CMOS data book.";;
4427;2018-08-07;;FING;;;62;FING;"Interface databook :";;
4428;2018-08-07;;FING;;;20;FING;Comunicaciones.;"Guillén, Agustín";8488432917
4429;2018-08-07;;FING;;;24;FING;"Fortran IV :";"Farina, Italo Hilario";
4430;2018-08-07;;FING;;;64;FING;"The Z8 application note handbook.";;
4431;2018-08-07;;FING;;;64;FING;"Amplifiers, comparators, and special functions data book :";;
4524;2018-08-07;;FING;;;40;FING;"Lo esencial de la tecnología anticonceptiva.";"Hatcher, Robert A.";
4433;2018-08-07;;FING;;;59;FING;"Uma proposta de política nacional de memória da ciência e da tecnologia :";;
4434;2018-08-07;;FING;;;26;FING;"Official methods of analysis of the Association of Official Analytical Chemists /";;0935584145
4435;2018-08-07;;FING;;;6;FING;"Electrophoresis and immunoelectrophoresis.";"Cawley, Leo P.";
4437;2018-08-07;;FING;;;28;FING;"Linear control systems :";"Rowland, James R.";047103276X
4438;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4439;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4559;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4560;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4561;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4562;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4563;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4734;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4735;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4736;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4737;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4738;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4739;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
4740;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
6679;2018-08-07;;FING;;;17;FING;"Cálculo :";"Stewart, James";9706861270
L452;2018-08-07;;FING;;;45;FING;"Embarazo e irradiación médica.";;
4442;2018-08-07;;FING;;;45;FING;"<2002 = dos mil dos>Informe anual.";;
L453;2018-08-07;;FING;;;38;FING;"Tratamiento de residuos biomédicos.";;
3670;2018-08-07;;FING;;;54;FING;[Ponencias].;;
